# Wood Mouldings Complete Catalog

## Format Legend
- Item #: Product identifier
- Width: Width of the moulding
- Box Qty: Quantity in a box
- Collection: Collection/series name
- $9,999 & Below: Base pricing
- Box: Box pricing
- Length: Pricing per length
- Chop: Chop pricing
- Join: Join pricing

## Wood Mouldings

| Item # | Width | Box Qty | Collection Name | $9,999 & Below | Box | Length | Chop | Join |
|--------|-------|---------|----------------|----------------|-----|--------|------|------|
| 140634 | 7/8" | 162 | Confetti | 1.77 | 2.91 | 5.10 | 6.10 |
| 140635 | 7/8" | 162 | Confetti | 1.77 | 2.91 | 5.10 | 6.10 |
| 140636 | 7/8" | 162 | Confetti | 1.77 | 2.91 | 5.10 | 6.10 |
| 140638 | 7/8" | 162 | Confetti | 1.77 | 2.91 | 5.10 | 6.10 |
| 140639 | 7/8" | 162 | Confetti | 1.77 | 2.91 | 5.10 | 6.10 |
| 140640 | 7/8" | 162 | Confetti | 1.77 | 2.91 | 5.10 | 6.10 |
| 140641 | 7/8" | 162 | Confetti | 1.77 | 2.91 | 5.10 | 6.10 |
| 140642 | 7/8" | 162 | Confetti | 1.77 | 2.91 | 5.10 | 6.10 |
| 140643 | 7/8" | 160 | Confetti | 1.77 | 2.91 | 5.10 | 6.10 |
| 140644 | 7/8" | 162 | Confetti | 1.77 | 2.91 | 5.10 | 6.10 |
| 140645 | 7/8" | 162 | Confetti | 1.77 | 2.91 | 5.09 | 6.09 |
| 140646 | 7/8" | 162 | Confetti | 1.77 | 2.91 | 5.10 | 6.10 |
| 140647 | 7/8" | 162 | Confetti | 1.77 | 2.91 | 5.10 | 6.10 |
| 140648 | 7/8" | 162 | Confetti | 1.77 | 2.91 | 5.10 | 6.10 |
| 140649 | 7/8" | 162 | Confetti | 1.77 | 2.91 | 5.10 | 6.10 |
| 140650 | 7/8" | 162 | Confetti | 1.77 | 2.91 | 5.10 | 6.10 |
| 140651 | 7/8" | 162 | Confetti | 1.77 | 2.91 | 5.10 | 6.10 |
| 140652 | 7/8" | 162 | Confetti 2 | 1.77 | 2.91 | 5.10 | 6.10 |
| 140653 | 7/8" | 162 | Confetti 2 | 1.77 | 2.91 | 5.10 | 6.10 |
| 144508 | 13/16" | 432 | Lancaster II | 2.49 | 3.74 | 6.70 | 7.70 |
| 144510 | 13/16" | 313 | Lancaster II | 2.49 | 3.73 | 6.70 | 7.70 |
| 145252 | 3/8" | 549 | Ferrosa | 2.38 | 4.98 | 8.48 | 9.48 |
| 145790 | 13/16" | 162 | Gramercy | 2.53 | 4.09 | 6.27 | 7.27 |
| 145791 | 13/16" | 246 | Gramercy | 2.31 | 3.45 | 5.00 | 6.00 |
| 145BL | 1/2" | 171 | Williamsburg | 2.17 | 4.23 | 6.53 | 7.53 |
| 146790 | 5/8" | 190 | Gramercy | 2.67 | 4.28 | 6.87 | 7.87 |
| 147790 | 9/16" | 200 | Gramercy | 2.03 | 3.47 | 5.72 | 6.72 |
| 147791 | 9/16" | 430 | Gramercy | 1.76 | 2.74 | 4.05 | 5.05 |
| 150CG | 1/4" | 1140 | Fillets & Liners | 1.04 | 3.00 | 4.82 | 5.82 |
| 150CS | 3/16" | 1140 | Vienna | 1.05 | 2.78 | 4.78 | 5.78 |
| 150G | 1/4" | 1140 | Fillets & Liners | 1.55 | 3.01 | 5.33 | 6.33 |
| 150S | 1/4" | 1140 | Fillets & Liners | 1.55 | 3.01 | 5.33 | 6.33 |
