Item_Number,Description,Length_Price,Straight_Cut_Price,Chop_Price,Join_Price,Box_Price,Box_Qty,Width,Height,Rabbet_H,Cat_Page
30625,KOTA CHERRY,7.56,9.74,11.93,14.52,4.16,160,2 3/8,7/8,5/8,A-71
30628,KOTA WALNUT,7.56,9.74,11.93,14.52,4.16,160,2 3/8,7/8,5/8,A-71
30629,KOTA NATURAL,7.56,9.74,11.93,14.52,4.16,160,2 3/8,7/8,5/8,A-71
30659,KOTA BLACK,7.56,9.74,11.93,14.52,4.16,160,2 3/8,7/8,5/8,A-71
31040,HONORS GLOSS MAHOGANY,4.82,6.59,8.36,10.59,2.65,285,1 3/4,7/8,9/16,A-23
31045,HONORS GLOSS MAHOGANY/GOLD LINE,4.87,6.64,8.41,10.65,2.68,285,1 3/4,7/8,9/16,A-23
31050,HONORS MATT MAHOGANY,4.19,5.88,7.56,9.69,2.30,285,1 3/4,7/8,9/16,A-23
31055,HONORS MATT MAHOGANY/GOLD LINE,4.70,6.46,8.21,10.43,2.59,285,1 3/4,7/8,9/16,A-23
31065,HONORS GLOSS WALNUT/GOLD LINE,4.88,6.66,8.43,10.68,2.68,285,1 3/4,7/8,9/16,A-23
31075,HONORS GLOSS BLACK/GOLD LINE,4.84,6.61,8.38,10.62,2.66,285,1 3/4,7/8,9/16,A-23
32026,CHALET LIGHT WALNUT,5.34,7.14,8.94,11.24,2.94,225,15/16,2 1/4,1 1/4,A-77
32027,CHALET BUFF,5.34,7.14,8.94,11.24,2.94,225,15/16,2 1/4,1 1/4,A-77
32055,CHALET CAROB,5.34,7.14,8.94,11.24,2.94,225,15/16,2 1/4,1 1/4,A-77
32059,CHALET OPAQUE BLACK,5.34,7.14,8.94,11.24,2.94,225,15/16,2 1/4,1 1/4,A-77
32060,CHALET WHITE,5.34,7.14,8.94,11.24,2.94,225,15/16,2 1/4,1 1/4,A-77
33011,ASH WHITE,5.05,6.84,8.63,10.90,2.78,285,1,1 7/16,1 3/16,A-85
