# Wood Mouldings Catalog (Final Section)

## Format Legend
- Item #: Product identifier
- Width: Width of the moulding
- Box Qty: Quantity in a box
- Collection: Collection/series name
- $9,999 & Below: Base pricing
- Box: Box pricing
- Length: Pricing per length
- Chop: Pricing per chop
- Join: Pricing per join

## Wood Mouldings (Continued)

| Item # | Width | Box Qty | Collection Name | $9,999 & Below | Box | Length | Chop | Join |
|--------|-------|---------|----------------|----------------|-----|--------|------|------|
| 472110 | 1 1/2" | 198 | Brighton | 1.85 | 3.44 | 5.62 | 6.62 |
| 472120 | 1 1/2" | 198 | Brighton | 1.79 | 3.33 | 5.44 | 6.44 |
| 472130 | 1 1/2" | 198 | Brighton | 1.82 | 3.39 | 5.53 | 6.53 |
| 473110 | 1 9/16" | 195 | Brighton | 1.82 | 3.38 | 5.53 | 6.53 |
| 473120 | 1 9/16" | 184 | Brighton | 1.92 | 3.56 | 5.83 | 6.83 |
| 473130 | 1 9/16" | 176 | Brighton | 1.92 | 3.56 | 5.83 | 6.83 |
| 474110 | 2" | 160 | CR2 | 6.20 | 9.17 | 14.70 | 15.70 |
| 475110 | 1 11/16" | 216 | Brighton | 1.84 | 3.41 | 5.58 | 6.58 |
| 475120 | 1 11/16" | 216 | Brighton | 1.86 | 3.44 | 5.62 | 6.62 |
| 475130 | 1 11/16" | 216 | Brighton | 1.92 | 3.56 | 5.81 | 6.81 |
| 476350 | 2" | 143 | Brooklyn | 2.65 | 4.21 | 7.57 | 8.57 |
| 477593 | 1 1/2" | 216 | Marais | 2.85 | 5.38 | 8.71 | 9.71 |
| 479110 | 1 13/16" | 162 | Brighton | 1.96 | 3.65 | 5.89 | 6.89 |
| 479120 | 1 13/16" | 162 | Brighton | 1.96 | 3.65 | 5.89 | 6.89 |
| 479130 | 1 13/16" | 162 | Brighton | 1.96 | 3.65 | 5.89 | 6.89 |
| 480455 | 1 5/8" | 146 | Lille | 6.91 | 9.85 | 14.75 | 15.75 |
| 480460 | 1 5/8" | 235 | Lille | 6.86 | 9.77 | 14.66 | 15.66 |
| 480465 | 1 5/8" | 230 | Lille | 7.05 | 10.06 | 15.07 | 16.07 |
| 480470 | 1 5/8" | 229 | Lille | 6.84 | 9.74 | 14.61 | 15.61 |
| 481310 | 1 9/16" | 102 | Homestead | 7.13 | 11.25 | 20.80 | 21.80 |
| 482310 | 1 15/16" | 118 | Homestead | 5.59 | 7.93 | 15.33 | 16.33 |
| 484110 | 1 3/4" | 80 | CR2 | 6.85 | 10.18 | 16.19 | 17.19 |
| 485110 | 2" | 180 | Brighton | 3.25 | 4.43 | 6.82 | 7.82 |
| 485120 | 2" | 180 | Brighton | 3.25 | 4.43 | 6.82 | 7.82 |
| 485130 | 2" | 180 | Brighton | 3.17 | 4.32 | 6.65 | 7.65 |
| 486180 | 1 9/16" | 162 | Hudson | 4.14 | 6.12 | 10.03 | 11.03 |
| 486190 | 1 9/16" | 162 | Hudson | 4.04 | 5.95 | 9.98 | 10.98 |
| 486200 | 1 9/16" | 162 | Hudson | 3.84 | 5.74 | 9.74 | 10.74 |
| 486220 | 1 9/16" | 162 | Hudson | 4.01 | 6.07 | 9.72 | 10.72 |
| 487160 | 1 1/16" | 385 | Wright | 4.45 | 6.88 | 10.33 | 11.33 |
| 487BDG | 1 3/16' | 228 | Williamsburg | 4.04 | 6.01 | 10.08 | 11.08 |
| 488150 | 1 1/4" | 198 | Spencer | 3.13 | 4.60 | 6.92 | 7.92 |
| 488151 | 1 1/4" | 198 | Spencer | 3.14 | 4.61 | 6.93 | 7.93 |
| 488152 | 1 1/4" | 198 | Spencer | 3.06 | 4.50 | 6.76 | 7.76 |
