# Wood Mouldings Catalog (Part 4)

## Format Legend
- Item #: Product identifier
- Width: Width of the moulding
- Box Qty: Quantity in a box
- Collection: Collection/series name
- $9,999 & Below: Base pricing
- Box: Box pricing
- Length: Pricing per length
- Chop: Pricing per chop
- Join: Pricing per join

## Wood Mouldings (Continued)

| Item # | Width | Box Qty | Collection Name | $9,999 & Below | Box | Length | Chop | Join |
|--------|-------|---------|----------------|----------------|-----|--------|------|------|
| 346642 | 1 3/8" | 190 | Sedona | 4.18 | 6.13 | 10.58 | 11.72 |
| 346790 | 1 5/8" | 86 | Gramercy | 3.93 | 5.24 | 8.60 | 9.60 |
| 346791 | 1 5/8" | 108 | Gramercy | 3.30 | 4.34 | 6.61 | 7.61 |
| 347630 | 1 3/4" | 160 | Confetti | 3.08 | 4.95 | 8.14 | 9.14 |
| 347635 | 1 3/4" | 160 | Confetti | 3.08 | 4.95 | 8.14 | 9.14 |
| 347640 | 1 3/4" | 160 | Confetti | 3.08 | 4.95 | 8.14 | 9.14 |
| 350285 | 1 7/16" | 171 | Tribeca | 2.04 | 3.59 | 6.70 | 7.70 |
| 350286 | 1 7/16" | 171 | White | 2.17 | 3.93 | 7.51 | 8.51 |
| 350790 | 1 1/4" | 157 | Lucerne | 7.39 | 10.91 | 16.87 | 17.87 |
| 350791 | 1 1/4" | 155 | Lucerne | 7.64 | 11.29 | 17.45 | 18.45 |
| 350793 | 1 1/4" | 155 | Lucerne | 7.90 | 11.67 | 18.04 | 19.04 |
| 351800 | 1 1/2" | 223 | Belmont | 8.58 | 13.11 | 19.22 | 20.22 |
| 351801 | 1 1/2" | 232 | Belmont | 8.70 | 13.10 | 19.21 | 20.21 |
| 351802 | 1 1/2" | 222 | Belmont | 8.67 | 13.10 | 19.49 | 20.49 |
| 353804 | 1 3/4" | 143 | Silhouette | 3.68 | 8.17 | 13.03 | 14.03 |
| 354301 | 1 1/2" | 130 | Brittany | 6.96 | 11.23 | 15.80 | 16.80 |
| 354302 | 1 1/2" | 153 | Brittany | 6.84 | 11.18 | 15.52 | 16.52 |
| 354303 | 1 1/2" | 225 | Brittany | 7.14 | 10.64 | 16.19 | 17.19 |
| 354304 | 1 1/2" | 230 | Brittany | 7.32 | 10.94 | 16.57 | 17.57 |
| 354706 | 2" | 116 | Olsen | 8.89 | 13.97 | 21.31 | 22.31 |
| 354708 | 2" | 118 | Olsen | 8.89 | 13.97 | 21.31 | 22.31 |
| 355904 | 2" | 118 | Metalia | 7.85 | 9.68 | 15.48 | 16.48 |
| 355905 | 2" | 118 | Metalia | 7.85 | 9.68 | 15.48 | 16.48 |
| 355906 | 2" | 118 | Metalia | 7.85 | 9.68 | 15.48 | 16.48 |
| 355907 | 2" | 118 | Metalia | 7.85 | 9.68 | 15.48 | 16.48 |
| 355908 | 2" | 118 | Metalia | 7.85 | 9.68 | 15.48 | 16.48 |
| 356350 | 1 3/8" | 144 | Brooklyn | 2.01 | 3.15 | 6.08 | 7.08 |
| 356351 | 1 3/8" | 152 | Brooklyn | 2.01 | 3.15 | 6.08 | 7.08 |
| 357591 | 1 5/8" | 162 | Marais | 3.61 | 6.60 | 10.74 | 11.74 |
| 357592 | 1 5/8" | 162 | Marais | 3.48 | 6.41 | 10.43 | 11.43 |
| 357593 | 1 5/8" | 162 | Marais II | 3.78 | 7.06 | 11.57 | 12.57 |
| 358184 | 11/16" | 300 | L7 | 9.39 | 11.96 | 15.49 | 16.49 |
| 358185 | 11/16" | 210 | L7 | 8.68 | 11.05 | 14.52 | 15.52 |
| 358186 | 11/16" | 345 | L7 | 9.39 | 11.96 | 15.49 | 16.49 |
| 358966 | 1 1/4" | 300 | Ascot | 6.13 | 9.49 | 15.89 | 16.89 |
| 359240 | 1 1/4" | 315 | Lancaster | 3.61 | 6.35 | 10.20 | 11.20 |
| 359250 | 1 1/4" | 235 | Lancaster | 3.61 | 6.34 | 10.20 | 11.20 |
| 359260 | 1 1/4" | 266 | Lancaster | 3.61 | 6.34 | 10.20 | 11.20 |
| 36-907M | 1 1/4" | 210 | Steampunk - Garrett | 6.31 | 9.91 | 12.77 | 13.77 |
| 360810 | 1 5/8" | 135 | Calais | 3.55 | 7.82 | 13.00 | 14.00 |
| 360814 | 1 5/8" | 135 | Calais | 3.48 | 7.70 | 12.77 | 13.77 |
| 363101 | 13/16" | 250 | Cabana | 3.20 | 5.03 | 7.68 | 8.68 |
| 363102 | 13/16" | 250 | Cabana | 3.20 | 5.03 | 7.68 | 8.68 |
| 363103 | 13/16" | 250 | Cabana | 3.20 | 5.03 | 7.68 | 8.68 |
| 363104 | 13/16" | 250 | Cabana | 3.20 | 5.03 | 7.68 | 8.68 |
| 363105 | 13/16" | 250 | Cabana | 3.20 | 5.03 | 7.68 | 8.68 |
| 363115 | 13/16" | 250 | Cabana | 3.20 | 5.03 | 7.68 | 8.68 |
| 363116 | 13/16" | 250 | Cabana | 3.20 | 5.03 | 7.68 | 8.68 |
| 363119 | 13/16" | 250 | Cabana | 3.20 | 5.03 | 7.68 | 8.68 |
| 363124 | 13/16" | 250 | Cabana | 3.20 | 5.03 | 7.68 | 8.68 |
| 363125 | 13/16" | 250 | Cabana | 3.20 | 5.03 | 7.68 | 8.68 |
| 363176 | 13/16" | 200 | Cranbrook | 8.30 | 11.95 | 18.26 | 19.26 |
| 363177 | 13/16" | 190 | Cranbrook | 9.50 | 14.18 | 21.60 | 22.60 |
| 363180 | 13/16" | 187 | Cranbrook | 8.46 | 12.44 | 19.00 | 20.00 |
| 364206 | 1 1/8" | 186 | Shoji | 2.11 | 2.89 | 4.13 | 5.13 |
| 364208 | 1 1/8" | 186 | Shoji | 2.11 | 2.89 | 4.13 | 5.13 |
| 364706 | 1" | 156 | Olsen | 3.37 | 5.29 | 8.07 | 9.07 |
| 364708 | 1" | 156 | Olsen | 3.37 | 5.29 | 8.07 | 9.07 |
| 367190 | 1 3/4" | 85 | Domus | 7.73 | 11.51 | 17.63 | 18.63 |
| 367192 | 1 3/4" | 98 | Domus | 8.10 | 12.06 | 18.47 | 19.47 |
| 367194 | 1 3/4" | 98 | Domus | 7.94 | 11.80 | 18.08 | 19.08 |
| 367196 | 1 3/4" | 90 | Domus | 8.34 | 12.42 | 19.04 | 20.04 |
| 37-781P | 5/8" | 599 | Waterwoods - Garrett | 2.96 | 4.55 | 6.03 | 7.03 |
| 37-783P | 5/8" | 450 | Waterwoods - Garrett | 2.95 | 4.54 | 6.02 | 7.02 |
| 37-784P | 5/8" | 514 | Waterwoods - Garrett | 2.96 | 4.56 | 6.04 | 7.04 |
| 37-785P | 5/8" | 600 | Waterwoods - Garrett | 2.95 | 4.55 | 6.03 | 7.03 |
| 37-786P | 5/8" | 510 | Waterwoods - Garrett | 2.95 | 4.54 | 6.02 | 7.02 |
| 37-787P | 5/8" | 530 | Waterwoods - Garrett | 2.96 | 4.55 | 6.03 | 7.03 |
| 37-788P | 5/8" | 585 | Waterwoods - Garrett | 2.96 | 4.56 | 6.04 | 7.04 |
| 37-789P | 5/8" | 565 | Waterwoods - Garrett | 2.95 | 4.55 | 6.02 | 7.02 |
| 37-790P | 5/8" | 506 | Waterwoods - Garrett | 2.95 | 4.54 | 6.02 | 7.02 |
| 37-791P | 5/8" | 641 | Waterwoods - Garrett | 2.95 | 4.54 | 6.02 | 7.02 |
| 37-792P | 5/8" | 540 | Waterwoods - Garrett | 2.95 | 4.55 | 6.03 | 7.03 |
| 37-793P | 5/8" | 450 | Waterwoods - Garrett | 2.95 | 4.55 | 6.03 | 7.03 |
| 37-794P | 5/8" | 420 | Waterwoods - Garrett | 2.95 | 4.55 | 6.03 | 7.03 |
| 37-795P | 5/8" | 496 | Waterwoods - Garrett | 2.96 | 4.55 | 6.03 | 7.03 |
| 37-796P | 5/8" | 626 | Waterwoods - Garrett | 2.95 | 4.55 | 6.02 | 7.02 |
| 370285 | 1 9/16" | 171 | Tribeca | 2.04 | 3.56 | 6.68 | 7.68 |
| 371550 | 1" | 432 | Intermezzo | 6.27 | 10.10 | 15.36 | 16.36 |
| 371560 | 1" | 274 | Intermezzo | 6.27 | 10.10 | 15.37 | 16.37 |
| 371570 | 1" | 410 | Intermezzo | 6.27 | 10.10 | 15.36 | 16.36 |
| 371912 | 1 1/2" | 122 | Chateau | 11.64 | 16.10 | 24.49 | 25.49 |
| 372206 | 1 3/16" | 275 | Shoji | 1.73 | 2.37 | 3.39 | 4.39 |
