# Wood Mouldings Catalog (Final Part)

## Format Legend
- Item #: Product identifier
- Width: Width of the moulding
- Box Qty: Quantity in a box
- Collection: Collection/series name
- $9,999 & Below: Base pricing
- Box: Box pricing
- Length: Pricing per length
- Chop: Pricing per chop
- Join: Pricing per join

## Wood Mouldings (Continued)

| Item # | Width | Box Qty | Collection Name | $9,999 & Below | Box | Length | Chop | Join |
|--------|-------|---------|----------------|----------------|-----|--------|------|------|
| 413677 | 1 5/8" | 160 | Cranbrook | 6.03 | 8.80 | 14.74 | 15.74 |
| 414410 | 1 1/2" | 117 | Dillon | 7.86 | 11.70 | 18.39 | 19.39 |
| 414430 | 1 1/2" | 196 | Dillon | 7.92 | 11.70 | 18.52 | 19.52 |
| 415352 | 1 1/4" | 236 | Barrington | 6.61 | 9.92 | 15.88 | 16.88 |
| 415BL | 1 1/4" | 324 | Black Reflections | 2.01 | 3.47 | 5.38 | 6.38 |
| 416276 | 3/4" | 274 | Milo | 4.14 | 5.66 | 8.10 | 9.10 |
| 416277 | 3/4" | 274 | Milo | 4.14 | 5.66 | 8.10 | 9.10 |
| 416278 | 3/4" | 274 | Milo | 3.87 | 5.29 | 7.57 | 8.57 |
| 4181 | 1 9/16" | 135 | Arqadia | 3.13 | N/A | N/A | N/A |
| 418146 | 1 3/8" | 110 | Kyoto | 8.49 | 10.47 | 16.75 | 17.75 |
| 418147 | 1 3/8" | 117 | Kyoto | 8.49 | 10.47 | 16.75 | 17.75 |
| 418148 | 1 3/8" | 117 | Kyoto | 8.49 | 10.47 | 16.75 | 17.75 |
| 420660 | 1 3/4" | 190 | Mantilla | 5.93 | 8.86 | 14.13 | 15.13 |
| 420661 | 1 3/4" | 195 | Mantilla | 6.10 | 9.12 | 14.55 | 15.55 |
| 420662 | 1 3/4" | 157 | Mantilla | 6.14 | 9.18 | 14.63 | 15.63 |
| 422831 | 1 5/16" | 270 | Biltmore | 8.78 | 12.92 | 19.78 | 20.78 |
| 423960 | 1 3/16" | 180 | Flax | 1.82 | 2.85 | 6.44 | 7.44 |
| 423962 | 1 3/16" | 180 | Flax | 1.84 | 2.89 | 6.53 | 7.53 |
| 423966 | 1 3/16" | 180 | Flax | 1.83 | 2.87 | 6.48 | 7.48 |
| 429292 | 1 3/16" | 162 | Windermere | 3.38 | 4.91 | 7.94 | 8.94 |
| 430BL | 1 3/8" | 234 | Black Reflections | 1.81 | 3.40 | 5.45 | 6.45 |
