# Wood Mouldings Catalog (Part 3)

## Format Legend
- Item #: Product identifier
- Width: Width of the moulding
- Box Qty: Quantity in a box
- Collection: Collection/series name
- $9,999 & Below: Base pricing
- Box: Box pricing
- Length: Pricing per length
- Chop: Pricing per chop
- Join: Pricing per join

## Wood Mouldings (Continued)

| Item # | Width | Box Qty | Collection Name | $9,999 & Below | Box | Length | Chop | Join |
|--------|-------|---------|----------------|----------------|-----|--------|------|------|
| 296350 | 1" | 245 | Brooklyn | 1.66 | 2.61 | 5.20 | 6.20 |
| 296351 | 1" | 247 | Brooklyn | 1.66 | 2.61 | 5.20 | 6.20 |
| 297601 | 13/16" | 305 | Carnivale | 2.65 | 3.66 | 8.75 | 9.75 |
| 297602 | 13/16" | 208 | Carnivale | 3.07 | 4.22 | 9.02 | 10.02 |
| 297603 | 13/16" | 325 | Carnivale | 2.70 | 4.51 | 8.86 | 9.86 |
| 297604 | 13/16" | 325 | Carnivale | 2.73 | 4.53 | 9.00 | 10.00 |
| 297605 | 13/16" | 206 | Carnivale | 2.67 | 3.67 | 8.79 | 9.79 |
| 297607 | 13/16" | 294 | Carnivale | 2.59 | 4.42 | 8.55 | 9.55 |
| 297608 | 13/16" | 207 | Carnivale | 2.70 | 4.45 | 8.86 | 9.86 |
| 297609 | 13/16" | 212 | Carnivale | 3.07 | 4.70 | 8.79 | 9.79 |
| 298201 | 1 9/16" | 206 | Shutter | 3.43 | 5.12 | 7.81 | 8.81 |
| 300750 | 15/16" | 300 | Sofia | 5.76 | 8.68 | 13.27 | 14.27 |
| 300751 | 15/16" | 295 | Sofia | 6.21 | 9.20 | 14.08 | 15.08 |
| 300752 | 15/16" | 194 | Sofia | 6.16 | 9.11 | 13.96 | 14.96 |
| 300CG | 1" | 162 | Vienna | 3.32 | 4.95 | 8.65 | 9.65 |
| 302100 | 1 1/4" | 196 | H4 | 5.74 | 8.31 | 12.81 | 13.81 |
| 303175 | 3/4" | 297 | Cranbrook II | 5.74 | 8.75 | 13.82 | 14.82 |
| 303176 | 3/4" | 335 | Cranbrook II | 5.59 | 8.95 | 14.16 | 15.16 |
| 303177 | 3/4" | 320 | Cranbrook II | 5.81 | 8.63 | 14.31 | 15.31 |
